Dato,df_mowi,df_salm,salmPrice
2015-04-21,69.0895921681987,89.8734939605154,41.18
2015-04-28,69.4938397819488,92.1110083329764,37.06
2015-05-05,66.7376060518344,89.5005748984386,35.89
2015-05-12,64.4958692846748,85.7713842776703,37.65
2015-05-19,66.9948545333118,89.1276558363617,35.69
2015-05-26,65.5983627767205,91.7380892708995,38.93
2015-06-02,67.6494770193127,93.2297655192068,37.6
2015-06-09,69.2157824409286,94.4458059390226,37.29
2015-06-16,68.5445086888075,92.8244187126016,38.92
2015-06-23,71.080431752376,96.4725399720488,41.05
2015-06-30,67.0527892396495,93.2297655192068,41.92
2015-07-07,67.9478209091443,92.8244187126016,40.17
2015-07-14,71.043138766147,98.9046208116803,38.93
2015-07-21,74.5859724578971,101.336701651312,42.51
2015-07-28,73.989284678234,101.336701651312,44.83
2015-08-04,77.6439973286709,105.795516523969,45.94
2015-08-11,77.569411356213,108.227597363601,45.07
2015-08-18,77.1964814939236,111.065025009838,46.51
2015-08-25,73.8235297354176,102.147395264522,46.02
2015-09-01,73.2568189134978,99.3099676182855,40.09
2015-09-08,73.1812574705751,100.931354844706,37.73
2015-09-15,74.5035827217213,104.984822910759,41.88
2015-09-22,75.6370043655609,105.390169717364,40.61
2015-09-29,79.8684451692286,108.227597363601,39.52
2015-10-06,83.5709558724379,114.713146269285,39.11
2015-10-13,83.0420257719794,111.065025009838,39.42
2015-10-20,81.7574812422946,106.200863330575,41.56
2015-10-27,83.2687101007474,108.227597363601,41.11
2015-11-03,86.7445364751887,113.902452656074,40.8
2015-11-10,86.49497454692,116.334533495706,42.29
2015-11-17,88.4833647663894,113.497105849469,41.88
2015-11-24,88.4833647663894,114.713146269285,40.97
2015-12-01,91.1600439079829,119.171961141943,43.68
2015-12-08,89.3246067823188,119.171961141943,48.81
2015-12-15,86.724404187628,116.739880302311,50.54
2015-12-22,86.1890683593093,119.577307948548,50.09
2015-12-29,89.9364191575402,123.225429207995,51.67
2016-01-05,88.2539351256814,122.82008240139,54.27
2016-01-12,89.7834660637348,128.089590887258,57.34
2016-01-19,87.7950758442654,137.007220632574,59.29
2016-01-26,88.7892709540001,132.548405759916,64.07
2016-02-02,90.3952784389562,137.007220632574,53.21
2016-02-09,87.2597400159467,126.468203660837,48.53
2016-02-16,88.2539351256814,130.927018533495,52.39
2016-02-23,94.5250119717004,144.708809958073,55.12
2016-03-01,97.4396861272549,149.167624830731,59.52
2016-03-08,90.4797085467368,151.194358863757,60.62
2016-03-15,99.7596786540944,159.301294995862,61.02
2016-03-22,101.615672675566,162.949416255309,58.12
2016-03-29,102.698335854758,166.597537514757,61.12
2016-04-05,101.84767192825,168.624271547783,67.45
2016-04-12,102.62100277053,166.597537514757,66.2
2016-04-19,102.079671180934,166.192190708151,62.68
2016-04-26,97.130353790343,155.653173736415,57.44
2016-05-03,98.2130169695348,160.922682222283,58.61
2016-05-10,100.997008001742,166.192190708151,57.56
2016-05-17,102.079671180934,184.027450198782,60.74
2016-05-24,106.958346034724,188.080918264835,66.85
2016-05-31,109.465794439934,203.484096915834,70.0
2016-06-07,110.954591930527,205.916177755466,59.78
2016-06-14,109.152363389282,199.586787045769,60.41
2016-06-21,113.618755861062,212.667527845809,70.04
2016-06-28,111.189665218515,211.486041579999,75.62
2016-07-05,108.603859050643,208.447934039344,72.38
2016-07-12,112.835178234434,220.347188573574,69.52
2016-07-19,112.678462709108,223.21651236197,78.74
2016-07-26,111.973242845143,220.009621069057,78.17
2016-08-02,110.797876405201,220.684756078091,68.44
2016-08-09,109.07400562662,213.933405987748,60.75
2016-08-16,103.980751053537,193.679355716719,58.87
2016-08-23,103.824035528212,192.666653203167,60.39
2016-08-30,103.894666177145,194.016923221236,59.33
2016-09-06,103.894666177145,199.249219541252,57.1
2016-09-13,100.121057745672,189.459761910254,57.46
2016-09-20,108.230301396284,208.447934039344,55.56
2016-09-27,109.354354971616,193.932531345106,52.62
2016-10-04,117.303019540038,209.629420305154,53.54
2016-10-11,120.514601183845,211.064082199352,55.45
2016-10-18,118.346783574275,215.199284129687,60.98
2016-10-25,120.996338430416,228.026849301339,63.25
2016-11-01,120.91604888932,228.617592434244,64.86
2016-11-08,118.989099903036,227.858065549081,65.88
2016-11-15,120.426848107943,232.837186240709,63.89
2016-11-22,123.200908294712,223.047728609711,61.9
2016-11-29,126.21973849796,224.819958008426,66.86
2016-12-06,124.016808349644,221.528674839384,64.84
2016-12-13,125.893378475987,220.76914795422,66.18
2016-12-20,125.648608459507,220.178404821315,69.44
2016-12-27,128.01471861881,218.828134803247,74.9
2017-01-03,125.97496848148,215.705635386463,79.37
2017-01-10,119.937308074984,196.379895752856,78.75
2017-01-17,121.324338168368,199.586787045769,79.69
2017-01-24,126.872458541905,201.105840816096,75.83
2017-01-31,118.958228009066,196.886247009632,74.37
2017-02-07,121.324338168368,199.50239516964,71.22
2017-02-14,124.016808349644,198.742868284476,65.96
2017-02-21,121.732288195834,187.51874875928,65.27
2017-02-28,121.912739493207,178.826385517964,64.66
2017-03-07,115.842050555278,174.438007959241,63.29
2017-03-14,116.424171412339,177.644899252154,59.17
2017-03-21,117.505253004026,173.594089197948,58.3
2017-03-28,112.183005168033,160.766524026296,63.22
2017-04-04,107.775518678851,152.074160784979,64.18
2017-04-11,111.185083698784,157.222065228866,63.57
2017-04-18,114.012527861655,163.382672186304,62.81
2017-04-25,115.343089820653,165.576860965665,64.91
2017-05-02,120.000056677147,174.100440454724,65.52
2017-05-09,127.2349873292,187.854569351962,62.94
2017-05-16,126.652866472138,189.881721290901,66.64
2017-05-23,125.239144390702,193.51057196446,72.39
2017-05-30,123.07698120733,189.96611316703,74.69
2017-06-06,127.183855091755,197.476990142537,74.27
2017-06-13,123.026410862605,189.649073416166,67.36
2017-06-20,126.589934487591,201.124087708232,71.83
2017-06-27,120.990111648327,184.311857466367,68.81
2017-07-04,119.802270439999,180.931620698162,71.06
2017-07-11,119.208349835834,175.77231194669,70.73
2017-07-18,120.735574246543,178.085105524936,65.46
2017-07-25,122.77187346082,178.529873520753,63.86
2017-08-01,126.589934487591,185.913022251307,65.06
2017-08-08,126.75962608878,193.029310184371,60.64
2017-08-15,127.692929895324,193.474078180188,58.68
2017-08-22,134.310902341727,202.013623699865,56.75
2017-08-29,128.541387901273,195.164196564291,53.07
2017-09-05,133.866600475391,206.46130365803,54.34
2017-09-12,132.653569791471,203.436881286478,51.97
2017-09-19,133.866600475391,203.170020488988,53.03
2017-09-26,134.992986110459,197.388036543373,50.94
2017-10-03,135.859436598973,207.706654046317,52.0
2017-10-10,138.978658357622,214.467127582728,54.81
2017-10-17,140.971494481204,218.02527154926,55.23
2017-10-24,140.364979139245,220.338065127506,52.07
2017-10-31,138.19885291796,216.779921160974,53.02
2017-11-07,132.740214840323,211.531658810339,50.3
2017-11-14,137.505003044001,207.973514843807,45.32
2017-11-21,135.821629939726,233.947965799492,47.09
2017-11-28,128.467947431574,216.779921160974,52.23
2017-12-05,126.873172911733,220.515972325832,45.88
